id_cliente,edad,genero,ingresos,plataforma,interacciones,compras,promedio_ticket,total_gastado,fecha_primer_compra,fecha_ultima_compra,dias_desde_ultima,recomendaciones,costo_adquisicion
C00110,34,M,63093,Instagram,30,1,32,32,2022-10-05,2025-03-09,23,2,11
C00111,29,F,20752,Instagram,35,2,60,120,2023-03-10,2025-02-22,38,0,11
C00112,42,F,62661,Facebook,19,4,86,344,2024-05-22,2024-12-29,93,0,28
C00113,32,F,50959,Facebook,14,2,96,192,2022-12-07,2024-11-12,140,0,19
C00114,23,M,18000,Instagram,28,2,22,44,2022-08-17,2024-10-29,154,1,21
C00115,43,F,47633,Facebook,19,5,42,210,2023-02-10,2025-02-05,55,0,34
C00116,31,F,77580,Instagram,26,1,36,36,2023-04-21,2024-11-26,126,1,15
C00117,28,F,26791,TikTok,43,5,15,75,2023-10-29,2025-03-12,20,3,20
C00118,48,F,50823,Facebook,15,3,113,339,2023-07-31,2024-10-14,169,0,22
C00119,31,F,57079,Facebook,13,5,85,425,2023-12-31,2024-10-31,152,0,32
C00120,46,F,66200,Facebook,16,1,115,115,2022-08-05,2025-01-10,81,1,22
C00121,44,M,63319,Facebook,19,3,80,240,2024-08-10,2025-03-09,23,0,24
C00122,42,M,84136,Facebook,13,3,92,276,2022-12-07,2025-02-07,53,0,33
C00123,18,F,29530,TikTok,34,1,40,40,2023-07-04,2024-12-16,106,0,19
C00124,50,M,80978,Facebook,14,2,59,118,2022-09-23,2024-12-17,105,0,32
C00125,38,M,59182,Instagram,32,3,26,78,2023-02-13,2025-03-05,27,1,12
C00126,25,M,47531,Instagram,32,2,51,102,2022-09-17,2024-10-08,175,0,14
C00127,57,F,77984,Facebook,16,1,56,56,2023-08-10,2024-10-11,172,0,16
C00128,18,F,23756,Instagram,25,1,24,24,2023-08-31,2025-03-13,19,0,22
C00129,37,F,56737,Instagram,26,2,57,114,2023-05-24,2024-10-09,174,2,14
C00130,44,F,96222,Facebook,10,1,40,40,2024-01-29,2025-01-23,68,0,17
C00131,29,F,38711,TikTok,40,1,34,34,2024-02-04,2025-02-22,38,0,6
C00132,23,M,24988,TikTok,43,1,22,22,2023-06-08,2025-01-02,89,0,8
C00133,38,M,46942,Instagram,29,1,48,48,2024-03-15,2025-01-27,64,2,10
C00134,16,M,30090,TikTok,45,3,13,39,2024-04-10,2025-03-22,10,2,5
C00135,38,F,46505,Facebook,16,4,43,172,2023-05-21,2025-03-04,28,2,20
C00136,42,M,50753,Facebook,15,1,115,115,2022-08-19,2024-10-31,152,0,21
C00137,16,F,18000,TikTok,33,3,18,54,2023-07-20,2024-12-28,94,0,7
C00138,21,F,18000,TikTok,40,2,23,46,2023-03-20,2024-12-05,117,0,6
C00139,40,F,62471,Instagram,32,1,27,27,2023-09-18,2025-03-04,28,0,15
C00140,45,F,87962,Facebook,22,3,75,225,2023-01-23,2025-03-21,11,0,32
C00141,28,F,34003,Instagram,26,1,50,50,2023-04-21,2024-11-25,127,0,13
C00142,42,F,60193,Facebook,16,4,48,192,2024-08-11,2025-03-08,24,0,23
C00143,54,M,39798,Facebook,18,3,99,297,2024-01-14,2024-12-24,98,1,21
C00144,52,M,46664,Facebook,11,1,54,54,2022-10-23,2024-10-14,169,0,17
C00145,29,F,32102,TikTok,32,2,27,54,2023-07-17,2025-02-09,51,0,7
C00146,26,M,57561,Instagram,26,1,47,47,2024-02-14,2024-11-12,140,0,13
C00147,26,F,41016,TikTok,39,3,21,63,2023-11-01,2024-10-14,169,0,15
C00148,25,F,58882,Instagram,27,3,37,111,2022-12-29,2025-03-21,11,0,21
C00149,31,M,18000,Facebook,16,5,70,350,2023-12-17,2025-01-27,64,0,29
C00150,40,M,48855,Instagram,33,4,59,236,2022-09-17,2024-12-21,101,0,16
C00151,34,M,63092,Facebook,12,1,61,61,2024-02-25,2025-02-19,41,1,32
C00152,49,F,35823,Facebook,13,4,112,448,2023-12-25,2025-01-07,84,0,15
C00153,21,F,47696,Instagram,31,2,56,112,2023-04-13,2024-12-31,91,0,15
C00154,53,M,91695,Facebook,10,3,54,162,2022-08-26,2024-10-11,172,0,35
C00155,32,F,42349,Facebook,22,3,93,279,2023-02-22,2024-11-18,134,0,28
C00156,38,F,63636,Facebook,10,2,118,236,2024-04-18,2025-03-11,21,0,18
C00157,30,F,47214,Instagram,32,2,19,38,2023-04-17,2024-10-12,171,0,12
C00158,26,F,56683,TikTok,36,1,30,30,2023-09-25,2024-10-18,165,0,13
C00159,36,F,41540,Facebook,19,2,91,182,2023-03-09,2024-11-19,133,0,18
C00160,22,M,37987,Instagram,24,2,28,56,2022-09-05,2024-12-27,95,0,16
C00161,17,F,18000,TikTok,46,3,33,99,2024-02-20,2024-11-10,142,0,11
C00162,25,F,19840,TikTok,41,3,32,96,2023-03-19,2025-02-25,35,0,9
C00163,19,F,30078,TikTok,46,4,19,76,2023-06-24,2025-02-09,51,0,9
C00164,16,F,34308,TikTok,46,1,27,27,2023-11-05,2025-03-02,30,1,14
C00165,39,M,81018,Instagram,20,1,46,46,2024-03-01,2024-12-26,96,0,21
C00166,23,M,32915,TikTok,28,1,14,14,2023-12-27,2025-03-02,30,0,8
C00167,29,F,18000,TikTok,41,1,19,19,2023-05-15,2024-12-02,120,1,10
C00168,25,F,25683,Instagram,25,2,28,56,2023-08-16,2024-10-05,178,0,18
C00169,35,F,30320,Instagram,30,2,46,92,2023-07-01,2024-10-30,153,1,24
C00170,25,F,41669,TikTok,34,2,37,74,2023-03-27,2024-11-29,123,2,14
C00171,34,M,31195,Instagram,26,2,22,44,2023-09-29,2024-12-09,113,1,23
C00172,28,F,48476,Instagram,26,3,16,48,2023-01-25,2025-02-24,36,0,22
C00173,36,F,32115,Instagram,29,3,17,51,2024-04-21,2024-11-25,127,0,24
C00174,24,M,50669,Instagram,29,2,22,44,2023-09-02,2024-12-05,117,1,10
C00175,18,M,43937,TikTok,34,3,16,48,2024-01-28,2024-10-19,164,0,15
C00176,30,M,85584,Instagram,36,3,28,84,2023-03-16,2024-11-22,130,1,23
C00177,45,M,41624,Facebook,13,3,63,189,2022-12-22,2024-10-20,163,0,17
C00178,22,F,44914,TikTok,30,2,23,46,2022-07-20,2025-01-02,89,0,7
C00179,19,M,23368,TikTok,42,1,28,28,2023-12-06,2025-01-19,72,0,5
C00180,30,M,44349,Instagram,30,1,47,47,2022-10-15,2025-01-19,72,0,11
C00181,32,M,41469,Instagram,32,1,20,20,2024-02-16,2025-01-04,87,0,24
C00182,26,M,41731,Instagram,24,2,59,118,2022-12-01,2025-01-01,90,1,15
C00183,43,F,33841,Facebook,14,2,103,206,2022-10-24,2024-12-13,109,1,19
C00184,24,F,18000,Instagram,34,1,58,58,2023-01-14,2025-01-25,66,1,21
C00185,38,M,26214,Instagram,26,1,30,30,2023-10-30,2024-12-07,115,0,25
C00186,26,F,27996,Instagram,23,2,21,42,2023-03-29,2024-11-16,136,0,15
C00187,28,F,43132,Instagram,41,3,28,84,2023-05-15,2024-10-09,174,1,18
C00188,22,M,25550,TikTok,42,1,27,27,2022-12-28,2024-11-16,136,0,9
C00189,51,F,97567,Facebook,18,3,56,168,2022-10-31,2024-12-15,107,0,16
C00190,34,M,53354,Facebook,14,2,79,158,2022-09-27,2025-01-23,68,2,20
C00191,36,M,56453,Facebook,18,1,118,118,2023-05-21,2024-12-21,101,0,34
C00192,34,M,56623,Instagram,31,1,37,37,2023-11-09,2024-11-20,132,0,18
C00193,34,F,18143,Facebook,19,3,94,282,2023-11-25,2025-02-04,56,0,23
C00194,39,M,64654,Facebook,11,2,66,132,2024-04-11,2024-12-06,116,0,32
C00195,57,F,54676,Facebook,21,2,43,86,2022-11-21,2024-12-03,119,0,20
C00196,40,M,57865,Facebook,17,1,98,98,2024-04-02,2025-02-26,34,0,19
C00197,54,F,60937,Facebook,13,4,45,180,2023-06-26,2025-01-22,69,0,33
C00198,32,F,30746,Instagram,26,4,44,176,2024-03-12,2025-03-02,30,1,19
C00199,50,M,71505,Facebook,18,2,62,124,2022-07-08,2024-11-15,137,1,30
C00200,59,M,70653,Facebook,10,1,79,79,2022-12-24,2024-10-07,176,1,29
C00201,37,M,56993,Facebook,11,1,96,96,2022-10-06,2025-02-05,55,1,35
C00202,24,F,52398,TikTok,43,1,33,33,2024-03-09,2025-02-13,47,1,18
C00203,32,M,58595,Facebook,15,2,53,106,2024-01-16,2024-10-24,159,2,20
C00204,57,M,61656,Facebook,19,5,53,265,2022-08-30,2025-01-21,70,0,20
C00205,26,F,33283,Instagram,27,1,28,28,2024-05-19,2025-02-10,50,2,23
C00206,51,F,58082,Facebook,19,3,103,309,2023-04-05,2025-02-01,59,0,28
C00207,20,F,18000,TikTok,40,2,18,36,2023-04-07,2025-02-16,44,1,8
C00208,30,F,34159,Instagram,39,2,33,66,2022-11-18,2025-01-30,61,0,19
C00209,20,F,62323,TikTok,44,2,37,74,2024-01-23,2024-10-24,159,0,8
C00210,51,F,40112,Facebook,12,4,56,224,2023-11-21,2025-03-17,15,0,26
C00211,57,M,18000,Facebook,15,2,87,174,2022-07-25,2024-12-29,93,0,27
C00212,35,F,51778,Facebook,12,2,103,206,2023-05-05,2024-12-06,116,0,24
C00213,22,F,40143,Instagram,30,2,53,106,2023-04-19,2025-03-12,20,1,22
C00214,29,F,24468,TikTok,44,3,22,66,2023-06-01,2024-10-13,170,2,16
C00215,24,F,27928,TikTok,35,2,27,54,2022-08-26,2025-01-14,77,0,6
C00216,35,M,41352,Instagram,31,2,29,58,2023-12-08,2024-10-07,176,1,18
C00217,30,F,49172,Instagram,37,2,16,32,2023-03-02,2024-10-08,175,0,22
C00218,23,F,48721,TikTok,41,1,24,24,2023-10-27,2024-12-12,110,1,14
C00219,54,M,87130,Facebook,14,1,92,92,2024-04-06,2024-11-21,131,0,20
C00220,31,M,18000,Facebook,16,1,114,114,2023-12-02,2024-10-14,169,1,30
C00221,22,M,18000,TikTok,43,3,24,72,2022-10-18,2025-03-04,28,0,8
C00222,47,M,45516,Facebook,8,1,77,77,2022-06-04,2024-11-07,145,0,19
C00223,27,M,24062,TikTok,41,1,23,23,2023-02-28,2024-12-06,116,0,10
C00224,18,M,18000,TikTok,50,6,14,84,2022-09-03,2024-12-26,96,0,7
C00225,57,F,54829,Facebook,16,1,61,61,2024-01-15,2025-01-13,78,0,18
C00226,28,M,63595,TikTok,47,1,22,22,2023-05-26,2024-12-28,94,0,7
C00227,27,M,49644,TikTok,33,5,22,110,2024-01-12,2024-12-15,107,0,19
C00228,58,M,100181,Facebook,16,2,67,134,2022-08-09,2024-10-29,154,0,19
C00229,48,M,53712,Facebook,16,2,60,120,2024-02-29,2025-03-18,14,0,25
C00230,31,M,46511,Instagram,21,2,50,100,2023-05-02,2025-01-07,84,0,15
C00231,40,F,34249,Instagram,30,4,28,112,2022-10-20,2024-12-31,91,2,20
C00232,30,F,42384,Instagram,19,2,47,94,2024-01-30,2025-01-10,81,0,25
C00233,20,F,18000,Instagram,33,3,56,168,2023-07-30,2024-11-17,135,0,25
C00234,31,F,52270,Facebook,15,5,47,235,2023-01-01,2025-01-11,80,0,31
C00235,30,M,46622,Facebook,8,4,99,396,2023-08-18,2024-11-16,136,1,23
C00236,37,M,64524,Facebook,12,1,114,114,2023-12-20,2025-01-10,81,0,17
C00237,19,M,41202,Instagram,25,1,40,40,2022-12-26,2024-12-02,120,1,22
C00238,40,F,53282,Instagram,39,3,15,45,2023-01-19,2024-10-16,167,0,10
C00239,18,M,37939,TikTok,40,2,17,34,2022-09-24,2025-01-30,61,1,10
C00240,57,M,47222,Facebook,12,1,98,98,2022-12-02,2025-03-11,21,0,22
C00241,19,M,26448,Instagram,27,2,40,80,2023-08-12,2024-12-17,105,1,11
C00242,23,M,29127,TikTok,30,1,36,36,2024-01-08,2024-12-13,109,0,6
C00243,35,F,50031,Facebook,9,2,72,144,2023-12-22,2025-02-28,32,2,24
C00244,46,M,63227,Facebook,12,2,76,152,2024-01-03,2024-10-29,154,0,24
C00245,36,F,18000,Facebook,14,2,110,220,2024-01-26,2025-03-10,22,0,23
C00246,21,M,28910,Instagram,33,4,47,188,2023-11-28,2024-12-04,118,0,13
C00247,38,M,46429,Facebook,18,2,60,120,2023-05-02,2025-01-28,63,0,22
C00248,20,F,18000,TikTok,27,2,21,42,2022-12-06,2025-01-29,62,0,19
C00249,20,F,33305,TikTok,37,1,38,38,2023-03-24,2024-10-21,162,0,15
C00250,23,M,41486,Instagram,26,1,26,26,2022-04-20,2024-10-04,179,0,20
C00251,26,M,26100,Instagram,35,1,26,26,2023-07-17,2025-02-08,52,2,25
C00252,26,M,56366,Instagram,32,1,18,18,2022-11-29,2024-10-17,166,1,17
C00253,30,F,50653,Instagram,41,6,25,150,2023-02-11,2025-02-19,41,1,24
C00254,55,M,56830,Facebook,16,2,50,100,2024-03-17,2024-12-09,113,0,27
C00255,27,M,57983,TikTok,54,4,34,136,2022-11-27,2024-10-15,168,1,19
C00256,35,M,27417,Instagram,43,2,35,70,2023-07-05,2024-11-09,143,2,23
C00257,31,F,31880,Instagram,24,1,57,57,2023-05-02,2024-10-13,170,2,21
C00258,35,F,42736,Facebook,15,5,101,505,2023-04-28,2024-11-04,148,0,26
C00259,18,M,18000,TikTok,47,2,26,52,2023-11-22,2025-02-08,52,2,15
C00260,27,F,62537,Instagram,26,3,34,102,2024-03-10,2024-12-27,95,0,17
C00261,24,F,45323,TikTok,38,3,30,90,2023-05-02,2024-10-04,179,0,12
C00262,26,F,18000,TikTok,38,1,13,13,2022-10-05,2024-10-19,164,1,13
C00263,24,F,18000,Instagram,42,3,32,96,2022-06-19,2024-11-27,125,0,22
C00264,33,F,36909,Facebook,24,4,80,320,2022-06-28,2024-11-04,148,0,18
C00265,36,F,21875,Instagram,38,4,56,224,2022-07-27,2024-10-31,152,0,13
C00266,37,F,30529,Facebook,20,2,107,214,2023-03-23,2024-10-09,174,2,29
C00267,31,M,40912,Facebook,19,3,92,276,2023-01-10,2025-02-28,32,0,34
C00268,20,F,19886,TikTok,34,1,12,12,2024-05-04,2024-12-27,95,1,20
C00269,38,F,53293,Facebook,13,3,66,198,2022-12-23,2024-11-17,135,3,33
C00270,20,F,18000,TikTok,38,3,36,108,2022-11-15,2025-03-14,18,1,6
C00271,16,F,18000,TikTok,44,1,10,10,2024-04-26,2025-01-31,60,2,19
C00272,36,M,57647,Facebook,17,4,120,480,2022-11-29,2024-10-05,178,0,16
C00273,35,M,57824,Facebook,18,4,104,416,2024-05-13,2025-03-08,24,1,31
C00274,35,F,46254,Instagram,32,1,38,38,2023-10-16,2024-10-17,166,0,20
C00275,18,F,18000,Instagram,35,2,16,32,2023-10-06,2025-03-01,31,1,17
C00276,40,M,70269,Instagram,39,4,47,188,2024-04-20,2025-03-11,21,0,10
C00277,20,F,36625,TikTok,37,2,31,62,2024-06-05,2025-01-23,68,0,12
C00278,24,F,27138,TikTok,27,4,22,88,2022-09-10,2024-11-08,144,0,8
C00279,40,M,68846,Instagram,22,1,24,24,2023-06-14,2025-01-25,66,0,18
C00280,58,F,74132,Facebook,16,2,88,176,2023-06-05,2025-01-11,80,0,31
C00281,54,M,86059,Facebook,16,1,94,94,2022-11-23,2024-10-17,166,1,21
C00282,39,M,57949,Instagram,21,2,36,72,2023-07-16,2024-11-09,143,1,12
C00283,21,F,18000,TikTok,42,4,35,140,2024-06-08,2025-03-13,19,0,13
C00284,48,M,56990,Facebook,16,3,67,201,2023-07-19,2024-11-30,122,0,15
C00285,46,M,67055,Facebook,11,2,71,142,2022-06-05,2024-10-08,175,0,20
C00286,56,M,51906,Facebook,14,2,112,224,2024-04-23,2024-12-21,101,1,33
C00287,37,M,46779,Instagram,36,4,47,188,2024-03-10,2024-12-03,119,0,18
C00288,31,M,34266,Facebook,18,3,87,261,2022-12-13,2024-12-31,91,0,24
C00289,33,M,50080,Facebook,11,3,47,141,2023-02-01,2025-01-09,82,0,33
C00290,24,F,18000,Instagram,38,4,35,140,2023-07-12,2025-01-24,67,1,11
C00291,23,F,56754,TikTok,52,4,31,124,2022-05-22,2024-11-04,148,0,20
C00292,21,M,19039,Instagram,29,1,15,15,2024-05-04,2025-03-20,12,0,16
C00293,23,M,25606,Instagram,34,3,33,99,2024-02-20,2025-01-13,78,0,12
C00294,57,M,79158,Facebook,12,1,64,64,2023-01-15,2025-01-27,64,2,27
C00295,34,M,54686,Instagram,37,3,59,177,2022-10-05,2025-02-12,48,0,12
C00296,20,F,47688,TikTok,48,2,31,62,2023-12-12,2025-02-22,38,1,13
C00297,43,M,30391,Facebook,14,4,45,180,2022-12-21,2025-03-05,27,0,26
C00298,16,M,18000,TikTok,44,1,24,24,2022-07-09,2024-11-28,124,0,16
C00299,28,M,18000,Instagram,32,2,47,94,2023-12-31,2025-01-08,83,1,12
C00300,31,F,54298,Facebook,16,1,88,88,2023-08-21,2025-01-18,73,0,35
C00301,34,M,26631,Instagram,38,3,15,45,2023-01-23,2025-01-20,71,1,10
C00302,32,F,80097,Facebook,17,1,67,67,2024-02-05,2024-11-23,129,2,23
C00303,48,M,47524,Facebook,15,2,54,108,2022-05-27,2024-11-04,148,0,17
C00304,54,F,67390,Facebook,8,1,105,105,2023-08-22,2025-02-06,54,0,27
C00305,27,F,18000,Instagram,27,1,18,18,2024-03-07,2025-01-22,69,0,20
C00306,56,F,79414,Facebook,20,3,100,300,2023-06-06,2025-02-03,57,0,29
C00307,26,M,60266,Instagram,34,2,31,62,2023-01-29,2025-02-07,53,0,12
C00308,57,M,68320,Facebook,18,3,75,225,2022-08-23,2025-01-20,71,0,24
C00309,40,M,32068,Facebook,13,1,115,115,2023-06-24,2025-02-07,53,0,24
C00310,34,M,30319,Instagram,29,5,52,260,2023-08-14,2024-10-08,175,0,18
C00311,30,M,48132,Instagram,26,3,24,72,2023-01-02,2024-11-11,141,1,16
C00312,37,F,64620,Instagram,23,2,36,72,2023-03-25,2024-11-18,134,2,15
C00313,31,F,31787,Instagram,27,5,52,260,2023-12-14,2025-03-21,11,0,11
