id_cliente,edad,genero,ingresos,plataforma,interacciones,compras,total_gastado,fecha_ultima_compra,costo_adquisicion
C079,51,M,93553,Instagram,21,3,171,2025-01-03,23
C080,47,F,90390,Instagram,20,2,106,2025-03-17,19
C081,19,M,89836,Facebook,21,2,84,2025-01-02,25
C082,48,F,26090,Instagram,23,3,132,2024-12-17,15
C083,20,F,53434,Facebook,21,4,244,2025-01-21,32
C084,39,M,99252,Instagram,14,1,53,2025-01-04,15
C085,43,F,101818,Facebook,13,3,225,2024-12-19,23
C086,34,F,115257,Facebook,24,1,98,2025-02-04,18
C087,39,F,28717,Facebook,19,1,75,2024-11-28,28
C088,24,M,25122,Instagram,25,1,37,2025-02-13,24
C089,52,F,54674,TikTok,13,1,58,2025-03-06,19
C090,56,F,26229,Facebook,16,2,58,2025-01-15,26
C091,58,F,46734,TikTok,20,3,183,2024-10-05,8
C092,54,M,82981,TikTok,22,2,178,2024-11-22,8
C093,50,F,47285,Instagram,15,1,94,2025-01-20,14
C094,47,M,33918,TikTok,27,2,118,2025-02-15,12
C095,41,F,58110,Instagram,19,4,100,2024-11-25,15
C096,47,M,104471,Facebook,21,2,126,2024-11-10,20
C097,23,F,50105,TikTok,23,3,93,2025-02-04,10
C098,18,M,98477,TikTok,21,2,44,2024-10-13,10
C099,23,F,79383,Instagram,21,1,59,2024-11-13,19
C100,37,F,28512,Facebook,20,3,204,2025-01-13,19
C101,31,M,87444,Facebook,29,1,59,2025-01-18,25
C102,39,F,25951,Facebook,15,3,243,2024-11-11,22
C103,42,F,34060,TikTok,18,2,66,2025-02-19,14
C104,55,M,91520,Instagram,19,2,170,2025-01-29,16
C105,57,M,112263,Instagram,21,2,140,2025-02-09,12
C106,32,F,91324,Facebook,20,3,171,2024-12-16,15
C107,54,M,52154,Instagram,14,3,72,2024-11-20,16
C108,27,M,63872,Instagram,25,4,284,2025-03-08,15
C109,46,F,40103,Instagram,20,3,138,2024-12-18,14
C110,53,M,119097,Instagram,21,5,285,2024-11-09,20
C111,25,F,75318,Facebook,17,4,324,2024-12-02,29
C112,57,F,119131,Facebook,28,3,168,2025-01-10,25
C113,59,F,47632,TikTok,18,1,97,2025-02-11,16
C114,58,F,23797,Instagram,19,5,275,2025-01-25,20
C115,18,M,73173,Instagram,16,2,144,2024-11-06,16
C116,27,F,59224,Instagram,21,2,188,2025-02-13,14
C117,19,F,28070,Facebook,20,3,234,2024-12-05,32
C118,41,M,87526,Facebook,19,2,164,2024-10-24,34
C119,43,M,30395,Instagram,22,5,340,2024-10-26,11
C120,39,F,116731,Instagram,21,3,225,2025-01-20,24
C121,49,F,22717,Instagram,22,4,152,2025-03-05,22
C122,18,F,84077,TikTok,19,2,114,2025-01-19,7
C123,21,F,75168,Facebook,18,3,222,2025-02-19,22
C124,24,F,101244,Instagram,16,1,73,2025-01-15,17
C125,50,F,105595,TikTok,23,5,255,2024-11-23,19
C126,33,M,74771,Instagram,14,2,52,2025-01-08,14
C127,24,M,36032,Facebook,14,3,63,2024-11-14,33
C128,22,M,107955,Instagram,17,3,93,2025-03-03,20
C129,22,F,53572,Instagram,24,4,172,2025-01-01,15
C130,27,F,68285,TikTok,15,2,56,2025-02-11,12
C131,19,F,119608,Facebook,16,2,90,2025-02-22,21
C132,51,M,94532,Instagram,25,4,240,2024-10-08,20
C133,51,F,59952,TikTok,22,1,46,2025-01-25,9
C134,48,M,102565,TikTok,21,3,270,2024-11-05,15
C135,34,M,55737,TikTok,18,1,73,2024-12-06,9
C136,18,F,39250,Instagram,21,2,118,2025-03-12,14
C137,53,M,111248,Instagram,17,2,86,2024-10-24,20
C138,22,M,109399,Instagram,17,1,81,2024-12-04,10
C139,51,F,67304,TikTok,20,2,40,2025-01-21,14
C140,57,F,75337,Instagram,16,3,189,2024-12-11,18
C141,51,M,43051,Instagram,17,5,180,2025-01-08,12
C142,29,M,21341,Facebook,26,4,396,2025-02-26,30
C143,35,F,82552,Facebook,29,3,270,2024-10-29,26
C144,40,F,107833,TikTok,20,1,26,2024-11-06,9
C145,25,F,103441,Facebook,23,2,156,2024-12-10,32
C146,34,F,109613,Facebook,21,4,248,2024-10-06,17
C147,43,F,40662,Facebook,21,2,88,2024-11-02,26
C148,35,F,114223,Instagram,21,1,61,2025-02-17,22
C149,47,F,49430,TikTok,20,3,174,2025-02-05,17
C150,46,M,49629,TikTok,19,3,225,2024-11-22,5
C151,27,F,70072,Instagram,19,1,22,2024-11-01,24
C152,47,F,54801,Facebook,23,2,144,2025-01-09,18
C153,32,F,100688,TikTok,22,4,320,2024-11-19,13
C154,23,F,20806,Instagram,26,4,176,2025-01-30,17
C155,21,M,74842,Facebook,29,3,279,2024-12-06,22
C156,51,F,102856,Instagram,24,1,28,2024-12-14,10
C157,37,M,38297,Facebook,15,3,243,2024-10-29,31
C158,41,F,44578,Facebook,16,2,184,2025-01-14,17
C159,31,M,103300,Facebook,19,2,96,2024-11-06,16
C160,20,M,108801,Facebook,28,2,196,2025-02-13,26
C161,25,M,41754,Instagram,10,5,335,2025-02-23,14
C162,22,M,106988,Facebook,20,3,177,2024-12-15,31
C163,57,F,112108,TikTok,23,4,312,2025-01-23,17
C164,58,F,53130,Facebook,23,3,171,2025-03-16,27
C165,22,M,68874,Instagram,26,4,116,2024-10-14,22
C166,47,F,62534,TikTok,24,1,32,2025-02-05,19
C167,44,F,86672,Facebook,22,3,162,2025-01-12,23
C168,36,F,67517,Facebook,18,4,164,2024-10-26,21
C169,49,M,65539,TikTok,30,3,108,2024-11-05,6
C170,18,M,40953,Instagram,23,3,78,2025-02-22,17
C171,28,M,64064,Facebook,18,2,90,2025-02-22,20
C172,21,M,34288,TikTok,19,3,144,2025-01-07,7
C173,49,M,80545,Facebook,22,2,150,2024-12-21,29
C174,46,M,73268,Facebook,19,2,152,2024-11-12,29
C175,18,M,32857,Facebook,16,1,44,2025-02-27,20
C176,29,M,46385,Instagram,20,1,36,2024-12-20,24
C177,25,M,94318,Instagram,25,3,249,2025-02-27,20
C178,20,M,35251,Facebook,19,3,84,2024-10-08,28
C179,39,F,25109,TikTok,17,2,192,2025-01-10,9
C180,38,M,46589,Facebook,20,2,128,2025-02-18,32
C181,55,M,72648,TikTok,23,1,95,2024-11-22,12
C182,49,F,94319,Instagram,22,3,153,2024-12-16,15
C183,19,M,26368,Facebook,26,4,180,2024-10-24,15
C184,56,F,101061,TikTok,16,4,252,2025-02-02,11
C185,57,M,91626,Instagram,23,4,204,2025-02-10,22
C186,29,M,46289,Instagram,24,4,104,2024-12-29,21
C187,33,F,86435,TikTok,25,3,180,2024-12-07,10
C188,31,F,35313,Facebook,16,4,152,2025-01-27,26
C189,53,F,90316,TikTok,26,1,63,2024-12-31,12
C190,23,F,36082,Facebook,22,3,219,2024-12-16,19
C191,24,M,50027,Instagram,23,2,78,2024-10-22,10
C192,49,F,85128,Instagram,21,3,174,2024-10-04,13
C193,29,F,68364,Facebook,22,1,27,2024-12-13,32
C194,47,M,31561,Instagram,18,2,114,2025-02-10,21
C195,31,F,90135,TikTok,18,1,47,2025-01-16,11
C196,52,M,33760,Facebook,21,1,50,2024-11-04,22
C197,27,M,64738,Facebook,18,3,60,2024-11-10,28
C198,37,M,99530,Instagram,23,1,56,2024-10-09,21
C199,45,M,103310,TikTok,21,1,97,2024-11-13,19
C200,26,F,67614,Instagram,29,1,89,2025-01-23,14
C201,22,F,49856,Facebook,21,2,124,2024-11-17,31
C202,51,M,65272,Instagram,16,2,114,2024-12-29,11
C203,40,F,42911,Instagram,17,1,27,2024-12-28,23
C204,18,F,43196,Instagram,26,3,222,2024-11-24,15
C205,43,M,108009,Instagram,20,4,380,2025-01-10,23
C206,42,M,74061,Instagram,22,3,216,2025-02-03,13
C207,22,M,46984,Instagram,18,3,246,2025-01-09,19
C208,50,M,93384,TikTok,21,4,92,2024-12-11,13
C209,36,F,84965,Facebook,19,1,73,2024-12-24,16
C210,38,F,23726,Facebook,18,3,237,2024-12-20,15
C211,42,M,103360,Facebook,21,1,30,2024-12-14,31
C212,25,F,80233,TikTok,19,4,268,2024-10-18,6
C213,46,F,21177,TikTok,18,3,189,2025-03-08,13
C214,40,M,101709,Facebook,23,4,396,2025-02-04,32
C215,32,F,76088,TikTok,28,4,152,2025-02-17,8
C216,31,F,26012,Instagram,16,2,94,2025-02-16,13
C217,25,M,74691,Instagram,23,2,188,2025-03-16,23
C218,48,F,64139,TikTok,24,2,122,2025-02-09,14
C219,53,F,32149,TikTok,25,2,132,2024-11-20,11
C220,30,M,100758,Facebook,24,1,61,2025-01-10,23
C221,41,M,54084,Facebook,17,2,186,2024-12-24,18
C222,35,M,101571,Instagram,19,1,52,2024-11-24,19
C223,38,M,69104,Facebook,17,1,30,2024-11-05,30
C224,26,F,47213,Facebook,21,5,270,2025-03-16,27
C225,38,F,114018,Facebook,19,3,129,2025-02-05,24
C226,36,M,58467,Instagram,18,3,165,2024-12-16,19
C227,53,F,34210,Facebook,17,2,174,2025-03-10,23
C228,19,M,90587,Instagram,12,2,182,2025-02-01,14
C229,20,F,65113,Facebook,15,2,108,2024-12-15,17
C230,40,F,73363,Instagram,21,5,250,2025-02-04,17
C231,33,M,108733,Instagram,25,2,54,2025-03-20,18
C232,33,M,101437,Facebook,24,3,267,2024-10-24,27
C233,35,F,111878,Instagram,21,1,33,2025-02-15,10
C234,50,M,25782,TikTok,18,2,184,2025-01-07,6
C235,20,F,58067,Instagram,19,2,108,2024-10-24,23
C236,32,M,24437,TikTok,25,4,244,2024-10-08,16
C237,35,F,107468,Instagram,22,3,258,2025-01-02,12
C238,24,F,115155,Facebook,12,1,21,2024-10-11,28
C239,35,M,92909,Facebook,21,2,66,2025-01-17,34
C240,33,F,57685,TikTok,15,2,88,2024-11-02,18
C241,51,M,37347,Facebook,32,2,194,2025-03-03,29
C242,35,M,72188,TikTok,25,1,21,2025-01-22,16
C243,40,M,92146,Facebook,21,1,30,2024-10-15,33
C244,32,M,45032,Instagram,16,1,81,2024-11-28,16
C245,24,M,117359,TikTok,22,1,71,2025-01-30,16
C246,53,F,32411,TikTok,19,4,324,2025-03-16,10
C247,44,M,46715,Facebook,15,5,370,2024-11-13,28
C248,44,M,26548,Instagram,24,3,174,2024-11-10,15
C249,18,F,80428,Instagram,25,1,64,2024-10-14,14
C250,53,M,61424,Instagram,17,2,148,2024-11-26,12
C251,43,M,30749,TikTok,26,3,213,2024-10-17,8
C252,55,F,75316,Facebook,24,3,237,2025-02-03,24
C253,46,F,62080,Instagram,28,3,141,2025-02-17,19
C254,25,F,48602,Instagram,22,1,64,2025-01-13,15
C255,49,F,83936,Instagram,22,1,62,2024-11-14,16
C256,41,F,109570,Instagram,18,5,355,2024-10-31,17
C257,36,F,84027,Facebook,15,3,81,2025-01-18,33
C258,27,F,62533,Instagram,17,3,255,2025-02-02,24
C259,53,F,117661,TikTok,24,2,162,2024-11-29,8
C260,27,F,54964,Facebook,21,3,153,2025-02-19,18
C261,51,F,77866,Instagram,18,1,44,2025-01-23,19
C262,31,M,75419,Instagram,16,1,65,2024-11-30,19
C263,38,M,97794,TikTok,16,2,54,2025-02-05,14
C264,57,M,75533,Facebook,15,2,82,2024-12-24,21
C265,39,F,43387,Facebook,15,3,138,2025-02-01,27
C266,48,F,111598,Facebook,15,2,112,2024-12-16,33
C267,20,M,28894,TikTok,21,4,176,2024-11-15,10
C268,54,M,49806,Instagram,19,1,24,2025-03-20,17
C269,18,F,58787,Facebook,22,3,195,2024-10-19,22
C270,19,F,51656,TikTok,20,4,308,2025-01-28,17
C271,29,M,46832,Instagram,18,1,89,2025-01-26,23
C272,36,F,102617,TikTok,18,3,135,2025-02-14,8
C273,55,M,98645,TikTok,15,1,79,2025-01-25,12
C274,37,M,79664,TikTok,26,3,297,2025-01-27,11
C275,21,F,56727,Instagram,20,3,237,2025-01-22,23
C276,36,M,88926,Instagram,14,3,231,2024-11-26,23
C277,48,F,30258,TikTok,14,2,74,2025-01-19,17
C278,45,F,47386,Facebook,22,3,198,2024-10-31,29
C279,23,F,50254,Instagram,23,5,440,2025-01-21,23
C280,27,F,54865,Instagram,25,2,140,2024-10-27,12
C281,59,F,45122,TikTok,16,2,136,2024-10-25,18
C282,27,M,45279,Facebook,23,1,58,2024-10-11,19
C283,18,M,22839,Instagram,16,2,86,2025-02-15,18
C284,38,M,100797,Instagram,11,2,108,2025-03-09,17
C285,27,M,52591,Instagram,19,2,184,2025-02-06,15
C286,53,F,79063,TikTok,14,2,52,2025-01-12,15
C287,32,F,34289,Facebook,29,2,66,2025-01-25,25
C288,54,F,38745,Facebook,14,1,68,2024-10-27,32
C289,42,F,82292,Facebook,18,1,87,2024-11-16,26
C290,59,M,35352,Facebook,22,5,400,2024-12-15,21
C291,45,F,43481,Instagram,12,2,178,2024-12-15,20
C292,18,F,67945,Instagram,14,1,93,2024-12-15,14
C293,33,F,116111,Instagram,22,1,59,2025-02-13,12
C294,27,F,36994,TikTok,24,2,78,2024-10-20,7
C295,21,M,50573,TikTok,20,4,132,2024-10-19,8
C296,58,M,26823,Instagram,23,3,66,2025-02-07,19
C297,50,M,70729,Instagram,24,2,138,2024-10-27,13
C298,22,F,114986,Facebook,20,3,165,2024-12-28,26
C299,25,F,26710,Facebook,19,2,122,2025-01-22,23
C300,37,F,105445,Facebook,15,2,92,2024-11-29,26
C301,57,F,26629,Facebook,21,2,102,2024-11-19,15
C302,54,F,87843,TikTok,21,4,124,2024-11-04,18
C303,33,M,74400,Facebook,22,4,312,2024-11-15,27
C304,44,F,28004,TikTok,13,4,180,2024-11-17,13
C305,22,M,52994,Instagram,18,4,100,2025-01-22,22
C306,28,F,107489,Instagram,22,2,44,2025-01-06,24
C307,45,F,79165,Facebook,13,1,60,2025-01-31,30
C308,35,M,90969,TikTok,22,2,176,2024-12-05,15
C309,28,F,96637,Facebook,16,3,159,2025-01-16,29
C310,52,F,94663,Instagram,12,4,80,2024-12-26,17
C311,20,M,118745,Facebook,17,1,72,2025-02-05,29
C312,31,F,75267,Instagram,16,1,98,2024-11-28,21
C313,50,M,106661,Facebook,19,4,364,2025-02-16,16
C314,36,M,91678,TikTok,20,2,66,2024-10-20,18
C315,55,M,54518,Instagram,26,4,244,2025-03-04,15
C316,26,M,79675,Instagram,21,2,76,2024-11-01,13
C317,55,M,54228,Instagram,12,1,52,2024-11-23,22
C318,42,M,66733,Facebook,12,3,180,2025-01-14,25
C319,45,M,34849,Facebook,18,5,370,2025-03-07,23
C320,46,M,94813,TikTok,17,2,138,2024-10-25,5
C321,22,M,99151,TikTok,16,3,276,2024-11-06,8
C322,21,M,111170,Instagram,19,2,142,2024-12-20,10
C323,39,F,34567,Facebook,19,3,222,2024-12-21,33
C324,45,M,119075,TikTok,17,2,40,2025-01-10,10
C325,40,F,105925,Instagram,26,1,25,2025-02-24,15
C326,25,M,105371,Instagram,20,3,225,2024-11-02,19
C327,55,F,63056,TikTok,25,2,136,2025-01-20,18
C328,59,F,25482,Instagram,28,1,60,2025-03-06,15
C329,41,F,79156,Instagram,26,1,83,2025-03-12,12
C330,36,M,41386,Facebook,28,2,76,2025-01-06,27
C331,25,M,98279,Facebook,21,4,352,2025-03-15,27
C332,42,M,98682,Instagram,10,1,66,2024-12-29,23
C333,35,M,66737,Instagram,22,3,114,2024-10-18,11
C334,57,F,98931,Facebook,12,2,116,2025-03-21,31
C335,46,F,106120,TikTok,18,1,70,2024-11-25,14
C336,26,F,66619,Facebook,23,4,228,2024-11-12,17
C337,33,F,113533,Facebook,25,2,168,2025-01-27,22
C338,32,F,51705,Instagram,14,2,84,2024-10-22,14
C339,55,M,30516,Instagram,25,1,92,2024-11-21,15
C340,47,F,56027,TikTok,19,3,228,2024-11-25,16
C341,53,F,105920,Facebook,20,3,168,2025-01-26,21
C342,18,F,113376,TikTok,15,3,162,2024-11-17,19
C343,28,F,31120,Instagram,25,4,300,2025-01-17,15
C344,48,M,68515,Instagram,14,1,78,2025-01-15,10
C345,28,F,90188,Instagram,13,4,280,2025-02-01,13
C346,23,F,99674,Instagram,19,4,224,2024-10-04,22
C347,54,F,51778,Instagram,21,3,108,2024-12-04,16
C348,49,M,62261,Instagram,20,1,70,2024-11-12,13
C349,59,F,29569,Facebook,15,2,80,2025-02-07,27
C350,28,M,20358,Facebook,18,1,32,2024-12-02,18
C351,51,F,46762,TikTok,26,3,114,2024-10-09,8
C352,56,F,38951,Facebook,20,1,83,2024-12-22,19
C353,51,M,44842,Instagram,20,1,30,2025-03-18,15
C354,34,F,21207,Instagram,19,5,190,2024-10-20,13
C355,49,F,98405,TikTok,17,2,162,2024-10-23,19
C356,32,M,71098,TikTok,28,3,216,2024-12-31,15
C357,45,M,38354,Instagram,24,5,335,2025-01-09,24
C358,25,M,102035,Facebook,19,4,152,2025-01-19,27
C359,55,F,41826,TikTok,16,3,123,2024-12-20,15
C360,39,F,106698,TikTok,23,2,198,2024-10-05,7
C361,41,F,101442,Instagram,20,5,135,2025-02-25,17
C362,57,F,31590,Facebook,22,1,27,2024-11-10,21
C363,26,F,31390,Facebook,25,1,28,2025-02-17,15
C364,31,M,68511,Instagram,19,2,44,2024-11-01,13
C365,30,M,30207,TikTok,26,1,53,2024-11-19,6
C366,33,F,101253,Instagram,14,3,150,2025-02-17,21
C367,56,F,88487,Instagram,28,4,288,2025-02-12,16
C368,18,M,35592,TikTok,18,1,74,2025-02-28,18
C369,49,F,58333,Instagram,21,1,51,2024-11-29,19
C370,31,M,51921,Instagram,16,2,98,2025-03-19,21
C371,30,M,76378,Instagram,23,1,53,2024-12-31,16
C372,51,F,68766,Facebook,17,1,45,2025-03-05,25
C373,49,M,64757,Instagram,27,2,50,2025-01-13,15
C374,46,M,61627,Instagram,25,3,159,2024-12-13,20
C375,35,F,110930,TikTok,19,4,280,2024-10-09,17
C376,34,M,52441,TikTok,20,3,222,2024-11-05,11
C377,40,F,105716,Instagram,26,2,60,2025-03-06,14
C378,21,M,74040,Instagram,17,3,168,2025-02-09,23
C379,34,F,37508,Facebook,18,2,74,2024-12-08,30
C380,24,F,105992,Instagram,19,4,140,2024-11-06,22
C381,26,M,72389,Facebook,23,3,192,2024-10-12,25
C382,26,F,38135,Facebook,22,2,126,2024-10-25,22
C383,45,M,67591,Facebook,26,2,152,2025-02-02,15
C384,27,F,75860,Instagram,13,1,43,2025-03-21,21
C385,39,M,28016,Instagram,30,3,108,2025-03-11,13
C386,41,F,32828,Facebook,26,2,168,2024-12-29,25
C387,45,M,63791,Instagram,16,4,288,2024-10-04,24
C388,47,M,50116,Facebook,19,2,148,2025-03-16,20
C389,29,F,66607,Facebook,17,5,350,2024-10-14,30
C390,28,M,108839,Facebook,21,1,78,2024-11-11,15
C391,57,F,110306,TikTok,16,2,196,2024-11-19,17
C392,40,F,69067,Instagram,16,3,282,2024-10-31,19
C393,49,F,75835,TikTok,18,1,76,2025-02-25,10
C394,42,F,66473,Facebook,20,1,94,2025-01-17,27
C395,55,F,52983,Instagram,20,3,135,2024-11-29,15
C396,22,M,25939,Instagram,19,5,230,2025-03-08,18
C397,49,M,41625,Instagram,28,2,130,2024-11-02,14
C398,48,M,87293,Instagram,15,1,52,2025-01-07,12
C399,30,F,67153,Facebook,18,1,87,2024-12-14,25
C400,43,F,96221,TikTok,16,4,296,2024-12-11,13
C401,35,M,50873,Facebook,31,5,135,2024-11-02,20
C402,59,F,28199,Instagram,23,3,174,2025-01-01,23
C403,37,F,113783,Facebook,24,1,93,2025-02-15,32
C404,54,M,28155,Facebook,24,4,340,2025-01-27,24
C405,25,M,94671,TikTok,16,2,64,2025-03-13,15
C406,53,F,43816,Instagram,19,5,255,2024-12-24,15
C407,46,M,73574,Facebook,22,1,97,2025-03-06,31
C408,35,F,65740,Instagram,18,2,168,2024-11-29,13
C409,18,M,35417,Facebook,35,4,240,2024-12-08,27
C410,22,F,54681,Instagram,21,3,285,2025-02-25,10
C411,36,M,86668,Facebook,27,3,102,2024-11-27,21
C412,46,M,59464,TikTok,21,3,261,2024-11-21,7
C413,32,M,65026,Facebook,19,4,328,2024-10-10,19
C414,51,M,67068,Instagram,18,2,136,2024-11-27,17
C415,40,F,63884,Instagram,18,2,158,2025-01-28,14
C416,23,F,54148,Facebook,16,1,22,2024-11-15,24
C417,39,F,42318,Instagram,33,3,180,2024-11-02,13
C418,40,F,71001,Instagram,16,1,66,2024-11-25,11
C419,53,F,47127,TikTok,18,3,234,2025-02-20,10
C420,59,M,23273,TikTok,17,2,58,2025-03-06,15
C421,21,F,107599,Instagram,22,3,252,2025-01-31,13
C422,53,F,53872,Instagram,19,1,58,2024-11-20,18
C423,23,M,39456,Instagram,23,4,212,2024-10-05,24
C424,46,M,104040,TikTok,16,1,82,2025-02-02,17
C425,29,F,38287,TikTok,19,2,68,2024-12-13,19
C426,49,F,53919,Instagram,18,4,388,2025-01-24,13
C427,50,F,70445,Instagram,19,3,75,2024-11-22,11
C428,50,F,30578,Instagram,20,4,128,2025-01-18,14
C429,52,M,78002,Instagram,22,4,304,2025-01-10,21
C430,24,M,31889,Instagram,27,3,93,2024-11-17,16
C431,28,M,112036,TikTok,19,2,94,2025-01-04,15
C432,22,M,20887,Instagram,18,2,176,2024-11-20,20
C433,19,M,97789,Instagram,24,1,38,2024-11-15,24
C434,46,M,42931,Instagram,18,4,108,2025-01-20,22
C435,46,M,118505,Instagram,13,5,300,2024-12-31,10
C436,43,M,34256,Facebook,19,1,54,2025-03-21,31
C437,41,M,96361,Instagram,12,5,300,2024-10-26,15
C438,36,M,114803,Instagram,22,1,86,2024-11-09,12
C439,32,M,21306,Facebook,19,3,234,2024-12-13,24
C440,19,M,49084,Instagram,30,1,98,2025-01-23,13
C441,39,F,22994,Instagram,16,3,132,2025-02-23,14
C442,18,M,80272,Instagram,21,2,40,2024-11-05,22
C443,53,F,96872,Instagram,22,1,57,2024-10-29,22
C444,27,F,102289,Facebook,13,4,188,2024-12-02,32
C445,32,M,114851,Facebook,16,3,207,2024-10-06,23
C446,56,M,110480,TikTok,26,1,82,2024-12-03,9
C447,22,F,25039,TikTok,11,3,231,2024-10-13,6
C448,28,M,87087,Instagram,18,4,152,2024-10-10,11
C449,30,M,96162,Facebook,20,5,135,2025-01-09,24
C450,23,M,44170,Instagram,18,4,224,2024-11-06,18
C451,35,M,32855,TikTok,19,1,79,2024-10-06,15
C452,53,M,113809,Instagram,19,3,231,2025-03-19,21
C453,39,M,48927,Instagram,11,4,392,2024-11-14,16
C454,20,M,33261,Instagram,22,1,48,2024-11-10,15
C455,27,F,38452,TikTok,26,3,162,2025-01-13,6
C456,18,M,118499,Instagram,16,2,80,2025-01-21,21
C457,41,M,91832,Instagram,30,2,154,2025-02-12,22
C458,33,M,50816,TikTok,13,3,162,2025-02-12,5
C459,39,M,112789,Facebook,22,4,344,2024-10-16,19
C460,39,F,79848,Instagram,19,3,126,2025-02-06,22
C461,34,M,56455,Facebook,20,2,104,2024-10-16,16
